"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Internal Audit Agency","GR/IAA/TS/01/2016","-","Single Sourced","1","","ETC/PPA","-","14th September, 2016","19th July, 2016","Ghana Cedi","Gh¢40000.00","CLEXACO CATERING SERVICES","","POST OFFICE BOX OS 1060 OSU ACCRA","","-"
"Internal Audit Agency","GR/IAA/TS/02/2016","-","Single Sourced","1","","ETC/PPA","-","14th July, 2016","19th July, 2016","Ghana Cedi","Gh¢13440.00","CLEXACO CATERING SERVICES","","POST OFFICE BOX OS 1060 OSU ACCRA","","-"
"Internal Audit Agency","GR/NPA/GD/0104/2015","NCT","Single Sourced","1","Lot 1a. Posters qty 10001b. Banners qty 6Lot 2a. Caps qty 425b. T-Shirts qty 200c. Polo-Shirt qty 400d. American Size Polo-Shirt qty 50","ETC/PPA","-","16th October, 2015","22nd October, 2015","Ghana Cedi","Gh¢98400.00","MAK CATERING SERVICES LIMITED","","NEXT TO LA GENERAL HOSPITAL, POST OFFICE BOX C1 1140 TEMA","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","10th December, 2015","Ghana Cedi","Gh¢229643.17","BEST TIME PRESS","","P.O. BOX 5174, ACCRA-NORTH","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","10th December, 2015","Ghana Cedi","Gh¢464920.00","Damte-Kyem Press","","P.O Box 95 Kaneshie  Accra","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","31st December, 2015","Ghana Cedi","Gh¢123132.00","Bestas Press Limited","","P. O. Box AN 6045, Accra North","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","31st December, 2015","Ghana Cedi","Gh¢152203.64","Aries Press and CO. Limited","","P.O Box CT 8304 Accra","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","31st December, 2015","Ghana Cedi","Gh¢226775.00","YASARKO PRESS LIMITED","","P. O. Box 14238","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","31st December, 2015","Ghana Cedi","Gh¢239185.30","Bestas Press","","P.O Box 6045 Accra","","-"
"Judicial Service","GR/JUDS/0001/2015","-","Single Sourced","1","","ETC/PPA","-","10th December, 2015","31st December, 2015","Ghana Cedi","Gh¢804681.12","Aries Press and CO. Limited","","P.O Box CT 8304 Accra","","-"
"Judicial Service","GR/JUDS/GD/0001/2020","-","Single Sourced","1","Purchase of one duty post Executive saloon car for the Chief Justice of the Republic of Ghana","ETC/PPA","40 (1)a - Proprietary","20th April, 2020","20th July, 2020","Euro","€167000.00","SILVER STAR AUTO LIMITED","","","","-"
"Judicial Service","GR/JUDS/GD/0023/2019","NCT","Open Tender","1","supply of Car tyres and batteries under framework agreement","Entity Tender Committee","05th March, 2020","31st December, 2020","Ghana Cedi","Gh¢877000.00","ALLIED HOME STORES LTD","","","","-"
"Judicial Service","GR/JUDS/GD/003/2013","-","Single Sourced","1","","ETC/PPA","-","-","-","Ghana Cedi","Gh¢0.00","Glorious Bay Company","","","","-"
"Judicial Service","GR/JUDS/GD/003/2013","-","Single Sourced","1","","Entity Tender Committee","-","14th August, 2013","27th September, 2013","Ghana Cedi","Gh¢108100.00","Glorious Bay Company Limited","","","","-"
"Judicial Service","GR/JUDS/GD/003/2013","-","Single Sourced","1","","Entity Tender Committee","-","14th August, 2013","27th September, 2013","Ghana Cedi","Gh¢112200.00","Glorious Bay Company Limited","","","","-"
"Judicial Service","GR/JUDS/GD/003/2013","-","Single Sourced","1","","Entity Tender Committee","-","14th August, 2013","27th September, 2013","Ghana Cedi","Gh¢80440.00","Perfect Business Systems Limited","","P. O. Box GP13724, Accra","","-"
"Judicial Service","GR/JUDS/GD/RT/002/2020","-","Restricted Tender","1","A4 Paper embossed with ‘Judicial Service’ as watermark","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","17th July, 2020","02nd November, 2020","Ghana Cedi","Gh¢365449.00","BUCK PRESS LIMITED","","","","-"
"Judicial Service","GR/JUDS/WKP/002/2019","-","Restricted Tender","2","Attestation LetterheadsJudicial Service LetterheadsEnvelope A4 SizeEnvelope Official S/S Size","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","17th July, 2020","02nd November, 2020","Ghana Cedi","Gh¢212189.25","OMNIA PRINTING WORKS","","","","-"
"Judicial Service","GR/JUDS/WKP/002/2019","-","Restricted Tender","3","Commercial Court Docket (Blue)Docket Motion(Green)Land Court Docket (Green)White Docket (Jacket)Record Book","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","17th July, 2020","02nd November, 2020","Ghana Cedi","Gh¢242153.00","BOSOMPEM BUSINESS VENTURES LIMITED","","","","-"
"Judicial Service","GR/JUDS/WKP/002/2019","-","Restricted Tender","4","Family DocketDocket","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","17th July, 2020","02nd November, 2020","Ghana Cedi","Gh¢113872.50","DAMTE-KYEM PRINTING PRESS LIMITED","","","","-"
"Judicial Service","GR/JUDS/WKP/002/2019","NCT","Open Tender","1","Installation of 4no. 100KVA Uninterruptible Power Supply (UPS) at the Law Court Complex in Accra.","Entity Tender Committee","04th June, 2020","22nd July, 2020","Ghana Cedi","Gh¢822575.25","GLORY LORD GHANA LIMITED","","","","-"
"Judicial Service","JS/GDS/112/16","-","Single Sourced","1","","Entity Tender Committee","-","15th November, 2016","13th December, 2016","Ghana Cedi","Gh¢14201.00","Kpogas Standard Furniture Co. Ltd","","P. O. Box 46 Odorkor-Accra","","-"
"Judicial Service","JS/GP/NCT/002/2020","NCT","Open Tender","1","LOT 1:8-Cylinder Engine,4WD Station WagonQuantity4LOT 2:4-Cylinder Engine,4WD Station WagonQuantity2LOT 3:Double Cabin Pick-UpQuantity1","Entity Tender Committee","20th August, 2020","15th December, 2020","Ghana Cedi","Gh¢0.00","TOWEY GHANA LIMITED","","","","-"
"Judicial Service","JUDS/GDS/ICT/003/14","-","Restricted Tender","1","","Entity Tender Committee","40 (1)a - Proprietary","07th April, 2015","19th May, 2015","Ghana Cedi","Gh¢1992721.28","Fair Green Ltd","","P. O. Box GP579","","-"
"Judicial Service","JUDS/RT/WKP/003/2016","-","Single Sourced","1","","Entity Tender Committee","-","07th October, 2016","04th November, 2016","Ghana Cedi","Gh¢186699.00","Pronet Limited","","P. O. Box AN 10080 Accra-North","","-"
"Judicial Service","PU/17/16","-","Single Sourced","1","","Entity Tender Committee","-","01st June, 2016","31st August, 2016","Ghana Cedi","Gh¢78750.00","Kingjojo Company Limited","","P. O. Box 199 Accra","","-"
"Judicial Service","PU/GD/248/15","-","Single Sourced","1","","Entity Tender Committee","-","30th November, 2015","30th December, 2015","Ghana Cedi","Gh¢75500.00","Central Furniture Works","","P. O. Box KN188, Accra","","-"
"Judicial Service","PU/GDS/217/15","-","Single Sourced","1","","Entity Tender Committee","-","12th October, 2015","02nd November, 2015","Ghana Cedi","Gh¢36670.00","Bamson Company Limited","","P. O. Box GP 111 Accra","","-"
"Judicial Service","PU/WKS/19/15","-","Single Sourced","1","","ETC/PPA","-","18th September, 2015","19th October, 2015","Ghana Cedi","Gh¢102480.00","JESPAKO GHANA LIMITED","","P. O. BOX 1959 TESHIE NUNGUA ACCRA","","-"
"Judicial Service","PU/WKS/20/15","-","Single Sourced","1","","Entity Tender Committee","-","18th September, 2015","19th October, 2015","Ghana Cedi","Gh¢131360.00","Anointed Pillars Associates Limited","","P. O. BOx GP 18345 Accra","","-"
"Judicial Service","PU/WKS/22/15","-","Single Sourced","1","","Entity Tender Committee","-","18th September, 2015","19th October, 2015","Ghana Cedi","Gh¢98000.00","Kingjojo Company Limited","","P. O. Box 199 Accra","","-"
"Judicial Service","PU/WKS/26/15","-","Single Sourced","1","","ETC/PPA","-","06th October, 2015","02nd November, 2015","Ghana Cedi","Gh¢13176.00","Abbuc Engineering Services","","P.O Box 143 Alajo-Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢135901.00","Intravenous Infusions Ltd","","P.O.Box KF 63 Koforidua","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢19150.00","KOFIKROM PHARMACY LTD","","SSNIT FLATS A1/4, DTD SAKUMONO ESTATES  COM.13 TEMA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢200626.00","Gokals Ltd","","P.O.Box GP623 Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢205278.00","Unicom Chemist Ltd","","P.O.Box OS 591 Osu- Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢20840.00","Spintex Chemist","","Box MP 1487,Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢240060.00","O, A & J PHARM.LTD","","P.O.BOX CT 1173 CANTONMENTS ‚Äì ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢24091660.00","Ayton Drugs Manufacturing Ltd","","P.O Box 2149 Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢25650.00","Dannex Ltd","","P.O.Box 5258 Accra-North","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢25650.00","Tata Africa Holdings (Ghana) Limited","","P. O. Box GP 20290 Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢305482.00","ERNEST CHEMIST","","BOX 3345 ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢306944.00","Lymens Medical Supplies Ltd","","","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢357633.00","PHARMANOVA LTD","","P.O.BOX AT 579 ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢367725.00","GOKALS LABOREX LTD","","Box GP 623, Accra Ghana","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢42100.00","Alive Pharmacy","","P. O. Box AD 655 Adabraka Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢66000.00","VICDORIS PHARMACEUTICALS LTD","","VICDORIS PHARMACEUTICALS LTD P. O. BOX AN 15088 ACCRA - NORTH","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢67000.00","C S P C MEDSOLUTION (GHANA) LIMITED","","P.O.BOX GP 13713 ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢71700.00","MEDS PHARMACY","","","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢7920.00","Palb Pharmaceuticals Ltd","","Box AN 3418, Kaneshie - Accra","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢80194.00","KINAPHARMA LTD  	NORTH INDUSTRAL AREA","","P.O.BOX TF 241  ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢81600.00","Sanbao (GH) Pharmaceuticals Limited","","P. O. Box CE12118, Comm. 11, Tema","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢9235290.00","Dannex Ltd","","P.O.Box 5258 Accra-North","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2015","Ghana Cedi","Gh¢93500.00","HILLS PHARMA LTD","","P.O.BOX GP 14672  ACCRA","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","1,5,13,15,94,179,180,200,247,257","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th January, 2016","Ghana Cedi","Gh¢16944.00","Lymens Medical Supplies Limited","","P. O. Box Ds 1776 Dansoman-Accra Ghana","","-"
"Ketu South Municipal Hospital","VR/GHS/KSMH//2015/NCT/B.2.1","NCT","Open Tender","10,34,58,67,92,93,116,118,140 Etc","Essential Medicine - Various","Entity Tender Committee","28th January, 2015","28th June, 2016","Ghana Cedi","Gh¢47633.00","PHARMANOVA LIMITED","","PHARMANOVA LIMITED P.O BOX AT 579 ACHIMOTA MARKET ACCRA","","-"
