"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Ministry of Education","","-","Open Tender","BA02","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢442261.87","Chaucer Limited","","","","-"
"Ministry of Education","","-","Open Tender","BA03","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢396123.37","Babaco Ventures Limited","","P. O Box 9, Jirapa","","-"
"Ministry of Education","","-","Open Tender","BA04","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢413874.03","Hamisey Limited","","P. O Box 328, Wa","","-"
"Ministry of Education","","-","Open Tender","BA05","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢455143.03","Thomboat Construction Co. Limited","","P. O Box 4090, Kumasi","","-"
"Ministry of Education","","-","Open Tender","BA06","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢397151.93","Al-Hudah Limited","","P. O Box 636, Techiman","","-"
"Ministry of Education","","-","Open Tender","BA07","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢419064.50","Just Here Company Limited","","P. O Box AN17012, Accra-North","","-"
"Ministry of Education","","-","Open Tender","CE01","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢439403.56","Emecouv Company Limited","","P. O Box SQ 248, Tema","","-"
"Ministry of Education","","-","Open Tender","CE01","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢439403.56","Emecouv Company Limited","","P. O Box SQ 248, Tema","","-"
"Ministry of Education","","-","Open Tender","CE02","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢416394.14","OSEKWAP COMPANY LIMITED","","P. O. BOX 1617, ACCRA","","-"
"Ministry of Education","","-","Open Tender","CE03","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢415702.79","Mill Sarfo Company Limited","","P. O Box 476, STC-Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","3","Tablets and Capsules","Entity Tender Committee","17th October, 2012","30th September, 2013","Ghana Cedi","Gh¢2392.50","Kinapharma Ltd","","P.O.Box TF 241 Accra","","-"
"Ministry of Education","","-","Open Tender","CE04","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢439014.94","Fahati Ventures Limited","","P. O Box 19528, Accra","","-"
"Ministry of Education","","-","Open Tender","CE05","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢477669.84","Wilglob Ghana Limited","","P. O Box NW771, Nsawam","","-"
"Ministry of Education","","-","Open Tender","CE06","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢419558.68","Buk-Han Ghana Limited","","P. O Box 481, Tamale","","-"
"Ministry of Education","","-","Open Tender","CE07","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢399372.51","M-Business Services","","P. O Box KN 4126, Kaneshie","","-"
"Ministry of Education","","-","Open Tender","CE08","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢409084.07","E. Speedway Construction","","P. O Box 72, Cape-Coast","","-"
"Ministry of Education","","-","Open Tender","ER01","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢419011.31","Nakwab Trading and Enterprise","","","","-"
"Ministry of Education","","-","Open Tender","GA01","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢441070.16","Top Rage Construction Limited","","","","-"
"Ministry of Education","","-","Open Tender","GA02","Upgrade of Selected Structures at 50 SHS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢368964.64","Delovely Company Limited","","P. O. Box 10602, Accra - North","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply of Classroom Tables and Chairs","Entity Tender Committee","18th December, 2015","18th January, 2015","Ghana Cedi","Gh¢54000.00","Andysarp Enterprise","","P. O. BOX 485, KUMASI","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","4","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢1250.00","CEDAR POINT","","BOX CT 5601 CANTONMENTS ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0060/2015","NCT","Open Tender","1","Supply of Tables and Chairs for Primary School. Qty - 210","Entity Tender Committee","18th December, 2015","18th February, 2015","Ghana Cedi","Gh¢70323.75","Central Furniture Works","","P. O. Box KN188, Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0063/2015","NCT","Open Tender","1","Supply of Electricity Cables for Oguaa Hall of the University of Cape Coast - Various","Entity Tender Committee","18th December, 2015","11th January, 2015","Ghana Cedi","Gh¢80000.17","NEXANS CABLE METAL LIMITED","","P. O. BOX CO 157 TEMA","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply and installation of Conference Room Chairs","Entity Tender Committee","18th December, 2015","18th January, 2016","Ghana Cedi","Gh¢65000.00","Matbans Company Limited","","P. O. BOX AN 5285 ACCRA","","-"
"University Of Cape Coast (UCC)","","-","Open Tender","1","Supply and installation of Conference Room Chairs","Entity Tender Committee","18th December, 2015","18th January, 2016","Ghana Cedi","Gh¢65000.00","Matbans Company Limited","","P. O. BOX AN 5285 ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0106/2015","NCT","Open Tender","1","Supply and Installation of Batteries for Galaxy 5000 UPS for ICT Centre. Qty - 60","Entity Tender Committee","18th December, 2015","18th January, 2016","Ghana Cedi","Gh¢72396.50","Fairgreen Limited","","Box GP 579, Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","5","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢11150.00","BEDITA PHARMACY","","BOX CT 3738 CANTONMENT ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/NCT/GDS/0007/2015","NCT","Open Tender","","Supply of Protective Clothing","Entity Tender Committee","03rd June, 2015","01st July, 2015","Ghana Cedi","Gh¢106400.00","F.O FRIMKO","","P.O.BOX 486 ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/NCT/GDS/0007/2015","NCT","Open Tender","","Supply of Protective Clothing","Entity Tender Committee","03rd June, 2015","01st July, 2015","Ghana Cedi","Gh¢6760.00","PERPPAYNE INVESTMENT LTD","","P.O.BOX KIA 9311 ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","6","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢4974.00","ARYTON DRUGS","","BOX 21 ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","7","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢22400.00","MEDICHEM LTD","","BOX KN 279 KANESHIE ACCRA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","8","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢43798.00","UNICOM CHEMIST","","BOX OS 591 OSU-ACCRA","","-"
"Ministry of Education","","-","Open Tender","NR01","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢413929.40","Things For You Ent. Ltd.","","P. O Box 8, Babile","","-"
"Ministry of Education","","-","Open Tender","NR02","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢474688.00","Halid Construction Ltd.","","P. O Box 16016, Accra","","-"
"Ministry of Education","","-","Open Tender","NR03","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢462010.95","Haybel  Co. Ltd.","","P. O Box 224, Nungua","","-"
"Ministry of Education","","-","Open Tender","NR04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢566139.05","Bukarta Gh. Ltd.","","P. O Box 5295, Accra-North","","-"
"Ministry of Education","","-","Open Tender","UE01","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢415112.68","Jospeb Ent. Ltd.","","P. O Box 272, Bolgatanga","","-"
"Ministry of Education","","-","Open Tender","UE02","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢511838.93","Lubie Const. Works Ltd.","","P. O Box 22, Tumu","","-"
"Ministry of Education","","-","Open Tender","UE03","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢560235.07","Zeeking Ltd.","","P. O Box 442, Bolgatanga","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","9","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢42711.00","Herona Company Ltd","","Box KN 229, Kaneshie - Accra","","-"
"Ministry of Education","","-","Open Tender","UE04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢545959.06","Asamoah Const. & Electrical Works Ltd","","P. O Box 46, Tamale","","-"
"Ministry of Education","","-","Open Tender","UE05","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢571868.36","A. B & K Limited","","P. O Box 243, Bolgatanga","","-"
"Ministry of Education","","-","Open Tender","UW01","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢438832.46","Halid Contract Works Ltd.","","P. O Box 16016, Airport","","-"
"Ministry of Education","","-","Open Tender","UW02","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢493806.21","Las Adventuras Ltd.","","P. O Box YK 279, Kanda","","-"
"Ministry of Education","","-","Open Tender","UW03","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢494991.82","Licos Ent. Ltd.","","P. O Box 137, Wa","","-"
"Ministry of Education","","-","Open Tender","UW04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢422108.83","Issahaku L. Co. Ltd.","","P. O Box 108, Wa","","-"
"Ministry of Education","","-","Open Tender","VR01","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢483806.14","Ramasad Co. Ltd.","","P. O Box GP20302, Accra","","-"
"Ministry of Education","","-","Open Tender","VR02","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢383160.00","Jonacon Company Ltd.","","P. O Box SK565, Tema","","-"
"Ministry of Education","","-","Open Tender","VR03","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢563966.30","Cristwed Ltd.","","P. O Box MA116, Ho","","-"
"Ministry of Education","","-","Open Tender","VR04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢397243.67","Winnermerf Gh. Ltd.","","P. O Box MA355, Ho","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","10","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢6120.00","Gokals Ltd","","P.O.Box GP623 Accra","","-"
"Ministry of Education","","-","Open Tender","VR05","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢416394.14","Kekom Ventures Ltd.","","P. O Box MA105, Ho","","-"
"Ministry of Education","","-","Open Tender","VR06","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢445714.73","Tabarikalla Ltd.","","P. O Box GP19243, Accra","","-"
"Ministry of Education","","-","Open Tender","WR01","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢401888.23","Double Dome Ltd.","","P. O Box CT6425, Accra","","-"
"Ministry of Education","","-","Open Tender","WR02","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢397513.44","Embesons Co. Ltd","","P. O Box 18711, Accra","","-"
"Ministry of Education","","-","Open Tender","WR04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢445373.10","Munissah Expert Const","","P. O Box 14222, Adum","","-"
"Ministry of Education","","-","Open Tender","WR04","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","01st August, 2016","Ghana Cedi","Gh¢398816.87","Casbak Int. Gh. Ltd.","","P. O Box 5750, Accra","","-"
"Ministry of Education","","-","Open Tender","WR05","UPGRADING OF SELECTED STRUCTURES AT 50 SENIOR HIGH SCHOOLS","Ministerial Tender Review Committee","10th June, 2015","-","Ghana Cedi","Gh¢407933.35","Justmoh Const. Ltd.","","P. O Box 01041, Takoradi","","-"
"Ghana Health Service","GHS/ER/2012/NCT/B.2.1/01","NCT","Open Tender","240","Supply of Essential Medicines","Regional Tender Review Committee","25th July, 2012","31st December, 2012","Ghana Cedi","Gh¢29900.00","Valley View Pharmacy Ltd","","P.O.Box KA9606 KIA-Accra","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","11","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢24206.00","Unichem Chemist Ltd","","P.O.Box 15146 Accra-North","","-"
"Ghana Education Service","","-","Open Tender","1","Consultancy for independent verification of civil works","Entity Tender Committee","06th August, 2015","02nd February, 2017","Ghana Cedi","Gh¢274526.80","KE&T Consult","","KE&T Consult p.o.box CT 5323 Accra","","-"
"Ghana Education Service","","-","Open Tender","1","Consultancy for independent verification of in-school activites","Entity Tender Committee","26th May, 2015","02nd February, 2017","Ghana Cedi","Gh¢162473.75","DAB Consult","","DAB Consult  p.o.box DTD 221 Accra","","-"
"Accra Polytechnic","GR/APoly/GD/00021/15","NCT","Open Tender","3","QUANTITY:50PCS","Ministerial Tender Review Committee","02nd November, 2015","19th November, 2015","Ghana Cedi","Gh¢259164.48","MERICOM SOLUTIONS","","P.O.BO CO819 TEMA","","-"
"Korle Bu Teaching Hospital","GR/KBTH/GDS/0002/2012","NCT","Open Tender","12","Tablets and Capsules","Entity Tender Committee","17th September, 2012","30th September, 2013","Ghana Cedi","Gh¢1100.00","ROXIN GHANA LTD","","BOX 625 ACCRA","","-"
"Accra Polytechnic","GR/APoly/GD/00021/15","NCT","Open Tender","3","QUANTITY:50PCS","Ministerial Tender Review Committee","02nd November, 2015","19th December, 2015","Ghana Cedi","Gh¢259164.48","MERICOM SOLUTIONS","","P.O.BO CO819 TEMA","","-"
"Accra Polytechnic","GR/APOLY/GD/0024/13","NCT","Open Tender","","QUANTITY: 30 air conditioners and 30 tle top fridges","Entity Tender Committee","18th August, 2015","19th December, 2015","Ghana Cedi","Gh¢39101.04","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
